client_id,nom,telephone,ville,langue_preferee,premier_achat,nb_commandes,segment
CLI-0001,Nadia Bennani,+212697691176,Tanger,fr,2024-11-18,2,fidèle
CLI-0002,Meryem Fassi,+212636319460,Agadir,fr,2024-05-23,3,régulier
CLI-0003,Salma Mansouri,+212675573077,Agadir,fr,2024-11-06,2,régulier
CLI-0004,Meryem Kabbaj,+212690236694,Oujda,darija,2024-12-14,1,nouveau
CLI-0005,Ilyas Bennani,+212628385467,Agadir,fr,2025-04-07,1,fidèle
CLI-0006,Meryem Hakimi,+212616077230,Rabat,darija,2024-02-15,2,nouveau
CLI-0007,Ayoub Cherkaoui,+212667851119,Meknès,darija,2024-10-02,3,nouveau
CLI-0008,Zakaria داودي,+212638904919,Mohammedia,darija,2024-06-22,1,nouveau
CLI-0009,Ayoub Ouazzani,+212614154432,Agadir,fr,2025-05-16,2,régulier
CLI-0010,Karim داودي,+212641466793,Salé,fr,2026-03-23,3,nouveau
CLI-0011,Amine Rachidi,+212665033792,Mohammedia,fr,2025-10-03,3,fidèle
CLI-0012,Youssef داودي,+212613130645,Oujda,darija,2025-08-23,3,régulier
CLI-0013,Sanae Rachidi,+212688813926,Agadir,fr,2024-10-10,1,nouveau
CLI-0014,Sanae Naciri,+212695990862,Tanger,fr,2024-02-04,2,régulier
CLI-0015,Reda داودي,+212627410724,Mohammedia,fr,2024-04-14,9,nouveau
CLI-0016,Hind Sqalli,+212618238482,Marrakech,fr,2024-06-17,2,régulier
CLI-0017,Amine Mansouri,+212693421371,Fès,fr,2024-05-16,1,régulier
CLI-0018,Ayoub Fassi,+212674039293,Mohammedia,fr,2025-01-21,1,nouveau
CLI-0019,Rania Ouazzani,+212615903661,Fès,darija,2024-10-15,3,régulier
CLI-0020,Ayoub Sqalli,+212629711926,Meknès,fr,2025-05-23,1,nouveau
CLI-0021,Ilyas Cherkaoui,+212619911691,Marrakech,fr,2025-04-20,4,régulier
CLI-0022,Mehdi Bennani,+212670067499,Fès,ar,2024-02-17,1,nouveau
CLI-0023,Rania Cherkaoui,+212623638232,Tanger,fr,2024-01-19,2,nouveau
CLI-0024,Karim Cherkaoui,+212676426950,Oujda,fr,2024-02-20,1,nouveau
CLI-0025,Meryem Rachidi,+212657742254,Rabat,ar,2024-11-19,1,nouveau
CLI-0026,Ayoub Lahlou,+212661232514,Agadir,darija,2026-05-15,1,régulier
CLI-0027,Ilyas Cherkaoui,+212644796914,Kénitra,fr,2025-01-23,1,nouveau
CLI-0028,Reda Ouazzani,+212668579578,Salé,ar,2025-06-08,1,régulier
CLI-0029,Karim Sqalli,+212680207672,Kénitra,ar,2025-11-11,4,régulier
CLI-0030,Karim Hakimi,+212697549484,Fès,fr,2024-06-23,3,régulier
CLI-0031,Kenza Kabbaj,+212626710225,Mohammedia,ar,2024-03-18,1,nouveau
CLI-0032,Imane Naciri,+212683573188,Salé,fr,2025-05-18,3,nouveau
CLI-0033,Kenza Alaoui,+212645511343,Kénitra,darija,2024-06-16,3,fidèle
CLI-0034,Sofia Lahlou,+212626497048,Agadir,fr,2024-05-26,9,nouveau
CLI-0035,Amine داودي,+212611236182,Rabat,fr,2024-06-01,3,régulier
CLI-0036,Amine Cherkaoui,+212699310063,Fès,darija,2025-02-03,1,fidèle
CLI-0037,Rania Lahlou,+212616393492,Fès,darija,2024-12-06,3,nouveau
CLI-0038,Sofia Rachidi,+212683492064,Fès,darija,2025-04-26,1,régulier
CLI-0039,Mehdi Cherkaoui,+212674892835,Tétouan,darija,2025-10-07,1,nouveau
CLI-0040,Sofia Jamai,+212681727194,Rabat,ar,2024-06-17,1,nouveau
CLI-0041,Othmane Tazi,+212646068724,Marrakech,darija,2024-10-17,1,nouveau
CLI-0042,Mehdi Bennani,+212681911828,Mohammedia,fr,2025-04-21,9,nouveau
CLI-0043,Karim Mansouri,+212699284871,Meknès,fr,2024-09-19,3,régulier
CLI-0044,Sanae Alaoui,+212631428140,Agadir,darija,2025-06-18,1,nouveau
CLI-0045,Othmane Cherkaoui,+212679587999,Tanger,darija,2026-02-16,1,régulier
CLI-0046,Imane Hakimi,+212642923672,Tétouan,darija,2025-09-16,1,régulier
CLI-0047,Othmane Bennani,+212640063076,Tanger,darija,2025-06-27,3,nouveau
CLI-0048,Reda Alaoui,+212652040629,Meknès,darija,2026-11-05,3,nouveau
CLI-0049,Othmane Kabbaj,+212654399151,Rabat,darija,2024-09-08,1,nouveau
CLI-0050,Ayoub Sqalli,+212678799363,Salé,darija,2026-03-15,4,fidèle
CLI-0051,Mehdi Sqalli,+212649039269,Marrakech,darija,2024-05-18,1,nouveau
CLI-0052,Ilyas Sqalli,+212670070465,Kénitra,fr,2024-10-12,2,fidèle
CLI-0053,Hind داودي,+212644574564,Agadir,fr,2024-03-23,1,nouveau
CLI-0054,Ilyas El Amrani,+212648049829,Rabat,fr,2024-09-25,9,fidèle
CLI-0055,Sanae Tazi,+212632174964,Meknès,fr,2024-04-11,1,régulier
CLI-0056,Reda Rachidi,+212634565980,Marrakech,darija,2026-02-05,9,nouveau
CLI-0057,Anas Tazi,+212680002263,Oujda,darija,2024-04-17,1,régulier
CLI-0058,Mehdi Hakimi,+212623024480,Agadir,fr,2025-09-14,3,régulier
CLI-0059,Salma Kabbaj,+212649001293,Mohammedia,darija,2026-03-27,2,nouveau
CLI-0060,Reda Lahlou,+212639002079,Oujda,fr,2025-03-23,1,nouveau
CLI-0061,Sofia Ouazzani,+212656539398,Kénitra,darija,2026-04-03,1,régulier
CLI-0062,Meryem Bennani,+212672521849,Tanger,fr,2024-01-23,2,nouveau
CLI-0063,Youssef Naciri,+212655181545,Agadir,darija,2024-02-27,1,nouveau
CLI-0064,Ilyas Mansouri,+212633050205,Tétouan,darija,2024-05-08,2,nouveau
CLI-0065,Mehdi Idrissi,+212646117633,Marrakech,fr,2025-09-07,1,fidèle
CLI-0066,Kenza داودي,+212661122434,Agadir,darija,2025-11-09,1,régulier
CLI-0067,Ghita Ouazzani,+212628798958,Tanger,darija,2026-06-06,1,régulier
CLI-0068,Mehdi Guessous,+212693483829,Fès,fr,2025-05-15,6,régulier
CLI-0069,Reda Naciri,+212672352564,Tétouan,fr,2024-09-20,3,régulier
CLI-0070,Kenza Fassi,+212633398972,Meknès,fr,2025-05-05,9,régulier
